current_path,new_path,rename_to,category,dependencies,priority,notes
.claude/commands/agents/agent-capabilities.md,src/cli/commands/definitions/agents/capabilities.md,capabilities,agents,none,medium,Documentation of agent capabilities
.claude/commands/agents/agent-coordination.md,src/cli/commands/definitions/agents/coordination.md,coordination,agents,none,medium,Agent coordination patterns
.claude/commands/agents/agent-spawning.md,src/cli/commands/definitions/agents/spawning.md,spawning,agents,none,medium,Agent spawning documentation
.claude/commands/agents/agent-types.md,src/cli/commands/definitions/agents/types.md,types,agents,none,medium,Agent type definitions
.claude/commands/agents/README.md,src/cli/commands/definitions/agents/README.md,README,agents,none,low,Category documentation
.claude/commands/analysis/bottleneck-detect.md,src/cli/commands/definitions/analysis/bottleneck-detect.md,bottleneck-detect,analysis,none,medium,Performance bottleneck detection
.claude/commands/analysis/COMMAND_COMPLIANCE_REPORT.md,docs/reports/command-compliance-report.md,command-compliance-report,documentation,none,low,Move to docs - not a command
.claude/commands/analysis/performance-bottlenecks.md,src/cli/commands/definitions/analysis/performance-bottlenecks.md,performance-bottlenecks,analysis,bottleneck-detect,medium,Duplicate? Check relationship
.claude/commands/analysis/performance-report.md,src/cli/commands/definitions/analysis/performance-report.md,performance-report,analysis,performance-bottlenecks,medium,Performance reporting
.claude/commands/analysis/README.md,src/cli/commands/definitions/analysis/README.md,README,analysis,none,low,Category documentation
.claude/commands/analysis/token-efficiency.md,src/cli/commands/definitions/analysis/token-efficiency.md,token-efficiency,analysis,none,medium,Token usage efficiency analysis
.claude/commands/analysis/token-usage.md,src/cli/commands/definitions/analysis/token-usage.md,token-usage,analysis,token-efficiency,medium,Token usage tracking
.claude/commands/automation/auto-agent.md,src/cli/commands/definitions/automation/auto-agent.md,auto-agent,automation,none,high,Automatic agent spawning
.claude/commands/automation/README.md,src/cli/commands/definitions/automation/README.md,README,automation,none,low,Category documentation
.claude/commands/automation/self-healing.md,src/cli/commands/definitions/automation/self-healing.md,self-healing,automation,none,medium,Self-healing workflows
.claude/commands/automation/session-memory.md,src/cli/commands/definitions/automation/session-memory.md,session-memory,automation,none,medium,Session memory management
.claude/commands/automation/smart-agents.md,src/cli/commands/definitions/automation/smart-agents.md,smart-agents,automation,auto-agent,medium,Smart agent behaviors
.claude/commands/automation/smart-spawn.md,src/cli/commands/definitions/automation/smart-spawn.md,smart-spawn,automation,auto-agent,medium,Smart spawning strategies
.claude/commands/automation/workflow-select.md,src/cli/commands/definitions/automation/workflow-select.md,workflow-select,automation,none,medium,Automatic workflow selection
.claude/commands/context/create.md,src/cli/commands/definitions/context/create.md,create,context,none,high,Context creation
.claude/commands/context/prime.md,src/cli/commands/definitions/context/prime.md,prime,context,create,high,Context priming
.claude/commands/context/update.md,src/cli/commands/definitions/context/update.md,update,context,create,high,Context updates
.claude/commands/coordination/agent-spawn.md,src/cli/commands/definitions/coordination/agent-spawn.md,agent-spawn,coordination,none,high,Agent spawning - check duplicate
.claude/commands/coordination/init.md,src/cli/commands/definitions/coordination/init.md,init,coordination,none,critical,Coordination initialization
.claude/commands/coordination/orchestrate.md,src/cli/commands/definitions/coordination/orchestrate.md,orchestrate,coordination,init,high,Task orchestration
.claude/commands/coordination/README.md,src/cli/commands/definitions/coordination/README.md,README,coordination,none,low,Category documentation
